StudentID;Department;Reg.Date;Reg.Type
116200123;200.Computer Engineering;5.10.2017 14:56:58;YÖS
114200031;200.Computer Engineering;18.9.2017 20:47:32;ÖSS
115200061;200.Computer Engineering;19.9.2017 16:49:12;ÖSS
114200076;200.Computer Engineering;19.9.2017 20:30:55;ÖSS
11435029;35.Visual Communication Design;20.9.2017 15:48:05;ÖSS+YETENEK
114201022;201.Genetics and Bioengineering;21.9.2017 13:58:43;ÖSS
112200056;200.Computer Engineering;19.9.2017 14:02:51;ÖSS
115202064;202.Electrical and Electronics Engineering;22.9.2017 08:19:29;ÖSS
113200027;200.Computer Engineering;19.9.2017 10:36:34;ÖSS
115200122;200.Computer Engineering;24.9.2017 20:58:44;YatayGeçi_/TC/Ayn_ Bölüm
115200116;200.Computer Engineering;20.9.2017 13:58:11;Ek Kont.
114200070;200.Computer Engineering;19.9.2017 11:01:02;ÖSS
114200077;200.Computer Engineering;22.9.2017 13:56:49;ÖSS
114200065;200.Computer Engineering;20.9.2017 14:00:36;ÖSS
114200044;200.Computer Engineering;20.9.2017 13:47:34;ÖSS
115200018;200.Computer Engineering;19.9.2017 11:39:55;YÖS
114200061;200.Computer Engineering;21.9.2017 10:55:36;ÖSS
11076001;76.Computer Science;26.9.2017 18:17:35;ÖSS
114200067;200.Computer Engineering;19.9.2017 10:47:15;ÖSS
111200037;200.Computer Engineering;9.10.2017 16:28:19;ÖSS
114201007;201.Genetics and Bioengineering;19.9.2017 22:49:43;ÖSS
113200058;200.Computer Engineering;19.9.2017 10:49:35;ÖSS
116200154;200.Computer Engineering;21.9.2017 10:45:28;ÖSS
114200011;200.Computer Engineering;20.9.2017 13:57:38;ÖSS
114200064;200.Computer Engineering;27.10.2017 10:54:31;ÖSS
110200006;200.Computer Engineering;21.9.2017 15:46:35;ÖSS
114200066;200.Computer Engineering;20.9.2017 10:48:32;ÖSS
114200055;200.Computer Engineering;18.9.2017 15:43:19;ÖSS
116200147;200.Computer Engineering;21.9.2017 13:31:47;ÖSS
115200055;200.Computer Engineering;19.9.2017 11:31:13;ÖSS
114200074;200.Computer Engineering;21.9.2017 11:15:31;ÖSS
114200080;200.Computer Engineering;19.9.2017 13:48:20;ÖSS
115200095;200.Computer Engineering;20.9.2017 20:51:40;ÖSS
115200030;200.Computer Engineering;19.9.2017 13:55:07;ÖSS
114200045;200.Computer Engineering;20.9.2017 10:27:22;ÖSS
115200110;200.Computer Engineering;20.9.2017 11:35:38;YatayGeçi_/TC/Farkl_ Bölüm
113200022;200.Computer Engineering;20.9.2017 16:22:28;ÖSS
114203040;203.Industrial Engineering;20.9.2017 13:30:34;ÖSS
115156030;156.Digital Game Design;19.9.2017 16:13:41;ÖSS
112211004;211.Computer Engineering (B_LG_-University of Liverpool / Dual Degree);20.9.2017 15:02:02;ÖSS
